Авторы: Иванов Петр; Название: Новые технологии в медицине; Год: 2021
Авторы: Петрова Мария, Козлов Алексей; Название: Экологические проблемы городов; Год: 2020
Авторы: Кузнецов Дмитрий, Лебедева Екатерина; Название: Искусство и культура; Год: 2022
Авторы: Жукова Ольга; Название: Влияние социальных сетей на общество; Год: 2021
Авторы: Иванов Иван, Петров Петр; Название: Основы программирования; Год: 2020
Авторы: Сидорова Анна; Название: Исследование в области биологии; Год: 2021
Авторы: Козлов Дмитрий, Лебедева Ольга; Название: Роль искусства в культуре; Год: 2022
Авторы: Павлова Екатерина; Название: Экономика и бизнес; Год: 2020
Авторы: Смирнов Алексей, Жукова Мария; Название: Новые технологии в образовании; Год: 2021
Авторы: Григорьев Сергей; Название: История и культура народов мира; Год: 2022
Авторы: Федоров Игорь; Название: Развитие космических технологий; Год: 2020
Авторы: Кузьмина Татьяна, Николаев Павел; Название: Современные тенденции в медицине; Год: 2021
Авторы: Морозов Артем; Название: Инновации в технологиях; Год: 2022
Авторы: Иванова Ольга; Название: Психология личности; Год: 2020
Авторы: Петрова Наталья, Кузнецов Денис; Название: Влияние масс-медиа на общество; Год: 2021
Авторы: Сергеев Даниил; Название: Физика элементарных частиц; Год: 2022
Авторы: Новикова Елена; Название: Гендерные исследования; Год: 2020
Авторы: Медведев Илья, Орлова Анастасия; Название: Экологические проблемы современности; Год: 2021
Авторы: Романова Евгения; Название: Развитие культуры и традиций; Год: 2022
Авторы: Казаков Иван; Название: Экономика и экономическая теория; Год: 2020
Авторы: Семенова Валентина, Тарасов Дмитрий; Название: Инновационные методы обучения; Год: 2021
Авторы: Степанов Иван; Название: Технологии будущего; Год: 2022
Авторы: Воронова Вера; Название: Социология и социальные исследования; Год: 2020
